hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5096,5093,Amazon,Blanco,c5096,c5093,28039.32911850864,Bolivia,RO,Madeira
5097,5096,Amazon,San Martin 1,c5097,c5096,16383.378311886254,Bolivia,,Madeira
5098,5097,Amazon,Negro,c5098,c5097,16372.572197434978,Bolivia,,Madeira
5099,5097,Amazon,San Martin 2,c5099,c5097,15843.011193066919,Bolivia,,Madeira
5101,5100,Amazon,Tunas,c5101,c5100,8603.878634344052,Bolivia,,Madeira
5102,5100,Amazon,Machupo,c5102,c5100,18962.952539360027,Bolivia,,Madeira
5105,5093,Amazon,Cautario,c5105,c5093,7044.83707913336,Brazil,RO,Madeira
5107,5106,Amazon,Paragua,c5107,c5106,29166.99433720701,Bolivia,MT,Madeira
5114,5113,Amazon,Rapulo,c5114,c5113,9241.617326763851,Bolivia,,Madeira
5124,5115,Amazon,Secure,c5124,c5115,6316.116532892448,Bolivia,,Madeira
5116,5115,Amazon,Ichilo,c5116,c5115,20051.1294844878,Bolivia,,Madeira
5119,5117,Amazon,Yapacani,c5119,c5117,10322.87012454503,Bolivia,,Madeira
5118,5117,Amazon,Mizque,c5118,c5117,10411.963055913913,Bolivia,,Madeira
5120,5119,Amazon,Piray,c5120,c5119,14907.00931448853,Bolivia,,Madeira
5125,5124,Amazon,Isiboro,c5125,c5124,14729.599060311733,Bolivia,,Madeira
5128,5127,Amazon,Biata,c5128,c5127,7951.2539765609845,Bolivia,,Madeira
5129,5127,Amazon,Madre de Dios 1,c5129,c5127,6382.641025501836,Bolivia,,Madeira
5139,5127,Amazon,Beni 2,c5139,c5127,25002.828259966893,Bolivia,,Madeira
5130,5129,Amazon,Manupari,c5130,c5129,11802.946910900284,Bolivia,,Madeira
5144,5139,Amazon,Madidi,c5144,c5139,12603.614218446217,Bolivia,,Madeira
5132,5131,Amazon,Tambopata,c5132,c5131,15252.677040985256,Peru,,Madeira
5259,5257,Amazon,Morona,c5259,c5257,16663.083604460167,Peru,,Maranon
5254,5246,Amazon,Chambira,c5254,c5246,9217.302811190266,Peru,,Maranon
5248,5247,Amazon,Mayo,c5248,c5247,9758.936766526183,Peru,,Maranon
5250,5249,Amazon,Huallabamba,c5250,c5249,13867.707321535,Peru,,Maranon
5256,5255,Amazon,Corrientes,c5256,c5255,12943.131136127522,Peru,,Maranon
5257,5246,Amazon,Maranon 2,c5257,c5246,27180.558548706387,Peru,,Maranon
5260,5257,Amazon,Cenepa,c5260,c5257,6795.304149680663,Peru,,Maranon
5261,5257,Amazon,Santiago,c5261,c5257,10546.024547110716,Peru,,Maranon
5181,5178,Amazon,Negro 2,c5181,c5178,12519.206021597274,Brazil,AM,Negro
5182,5181,Amazon,Jauaperi 1,c5182,c5181,7039.494449022474,Brazil,RR,Negro
5197,5181,Amazon,Jufari,c5197,c5181,12534.274526467096,Brazil,AM,Negro
5186,5181,Amazon,Branco 1,c5186,c5181,12942.699799452437,Brazil,RR,Negro
5188,5186,Amazon,Agua Boa do Univini,c5188,c5186,8951.624989545875,Brazil,RR,Negro
